x y z r
0.0 0.0 40.0 107.093417165
0.0 5.06632653061 40.0 102.378720242
0.0 10.1326530612 40.0 97.6992325754
0.0 15.1989795918 40.0 93.0602657543
0.0 20.2653061224 40.0 88.4681943285
0.0 25.3316326531 40.0 83.9307159642
0.0 30.3979591837 40.0 79.4571839785
0.0 35.4642857143 40.0 75.0590328899
0.0 40.5306122449 40.0 70.7503221192
0.0 45.5969387755 40.0 66.5484265073
0.0 50.6632653061 40.0 62.4749020828
0.0 55.7295918367 40.0 58.5565456541
0.0 60.7959183673 40.0 54.8266360144
0.0 65.862244898 40.0 51.3262732273
0.0 70.9285714286 40.0 48.1055917663
0.0 75.9948979592 40.0 45.2243841748
0.0 81.0612244898 40.0 42.7513417079
0.0 86.1275510204 40.0 40.7608248284
0.0 91.193877551 40.0 39.3261718527
0.0 96.2602040816 40.0 38.5095582098
0.0 105.379591837 40.0 38.703229947
0.0 110.445918367 40.0 39.7255234143
0.0 115.512244898 40.0 41.3476691214
0.0 120.578571429 40.0 43.5026160367
0.0 125.644897959 40.0 46.1157325794
0.0 130.71122449 40.0 49.1139421108
0.0 135.77755102 40.0 52.431223112
0.0 140.843877551 40.0 56.0109126278
0.0 145.910204082 40.0 59.8059097315
0.0 150.976530612 40.0 63.7777913796
0.0 156.042857143 40.0 67.8955214777
0.0 161.109183673 40.0 72.1341273548
0.0 166.175510204 40.0 76.4735127398
0.0 171.241836735 40.0 80.8974616495
0.0 176.308163265 40.0 85.3928321402
0.0 181.374489796 40.0 89.9489165557
0.0 186.440816327 40.0 94.5569390748
0.0 191.507142857 40.0 99.209662805
0.0 196.573469388 40.0 103.901082716
-5.05135135135 203.651351351 40.0 111.08170783
-8.65945945946 207.259459459 40.0 114.985942927
-12.2675675676 210.867567568 40.0 118.980931681
-15.8756756757 214.475675676 40.0 123.057835643
-19.4837837838 218.083783784 40.0 127.208779174
-23.0918918919 221.691891892 40.0 131.42674713
-26.7 225.3 40.0 135.705489941
-30.3081081081 228.908108108 40.0 140.039437
-33.9162162162 232.516216216 40.0 144.423618591
-37.5243243243 236.124324324 40.0 148.853596111
-41.1324324324 239.732432432 40.0 153.325400113
-44.7405405405 243.340540541 40.0 157.835475547
-48.3486486486 246.948648649 40.0 162.380633509
-51.9567567568 250.556756757 40.0 166.958008831
-58.4513513514 257.051351351 40.0 175.270403842
-62.0594594595 260.659459459 40.0 179.925061099
-65.6675675676 264.267567568 40.0 184.603397954
-69.2756756757 267.875675676 40.0 189.303658806
-72.8837837838 271.483783784 40.0 194.024250327
-76.4918918919 275.091891892 40.0 198.763723977
-80.1 278.7 40.0 203.520760612
-83.7081081081 282.308108108 40.0 208.29415692
-87.3162162162 285.916216216 40.0 213.082813457
-90.9243243243 289.524324324 40.0 217.885724064
-94.5324324324 293.132432432 40.0 222.70196651
-98.1405405405 296.740540541 40.0 227.530694194
-101.748648649 300.348648649 40.0 232.371128779
-105.356756757 303.956756757 40.0 237.222553641
-111.851351351 310.441891892 40.0 245.972644189
-115.459459459 314.043243243 40.0 250.845741335
-119.067567568 317.644594595 40.0 255.727602253
-122.675675676 321.245945946 40.0 260.617734457
-126.283783784 324.847297297 40.0 265.515680939
-129.891891892 328.448648649 40.0 270.421017095
-133.5 332.05 40.0 275.333347962
-137.108108108 335.651351351 40.0 280.252305726
-140.716216216 339.252702703 40.0 285.17754747
-144.324324324 342.854054054 40.0 290.10875314
-147.932432432 346.455405405 40.0 295.045623705
-151.540540541 350.056756757 40.0 299.987879485
-155.148648649 353.658108108 40.0 304.935258636
-158.756756757 357.259459459 40.0 309.887515774
-165.241891892 363.751351351 40.0 318.815771275
-168.843243243 367.359459459 40.0 323.782313007
-172.444594595 370.967567568 40.0 328.752874923
-176.045945946 374.575675676 40.0 333.727277392
-179.647297297 378.183783784 40.0 338.705351201
-183.248648649 381.791891892 40.0 343.68693682
-186.85 385.4 40.0 348.671883725
-190.451351351 389.008108108 40.0 353.660049781
-194.052702703 392.616216216 40.0 358.651300671
-197.654054054 396.224324324 40.0 363.645509372
-201.255405405 399.832432432 40.0 368.642555671
-204.856756757 403.440540541 40.0 373.642325717
-208.458108108 407.048648649 40.0 378.644711616
-212.059459459 410.656756757 40.0 383.649611044
